,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Flux NoSub,Peak Flux,Fancy Onset,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4
49,2016-01-16 03:32:00.000,2016-01-16 03:36:00.000,2016-01-16 03:39:00.000,B8.7,800.6226,61.946142,2480,2016-01-16 03:36:37.208,2016-01-16 03:33:00.000,,10.538902962440577,2016-01-16 03:36:37.208,2016-01-16 03:36:37.208,,,,,,,,
50,2016-01-16 06:40:00.000,2016-01-16 06:57:00.000,2016-01-16 07:05:00.000,B6.0,-666.94236,241.542486,2485,2016-01-16 06:57:21.491,2016-01-16 06:40:10,,7.313981108505065,2016-01-16 06:57:21.491,2016-01-16 06:57:21.491,13.254014927924187,,,,,,,
51,2016-01-16 11:15:00.000,2016-01-16 11:18:00.000,2016-01-16 11:21:00.000,B4.5,837.53076,57.6215766,2480,2016-01-16 11:18:44.965,2016-01-16 11:16:10,,9.73221329468029,2016-01-16 11:18:44.965,2016-01-16 11:18:44.965,,,,,,,,
52,2016-01-16 13:20:00.000,2016-01-16 13:24:00.000,2016-01-16 13:27:00.000,B3.5,854.45694,55.2998874,2480,2016-01-16 13:24:39.965,2016-01-16 13:21:00.000,,7.676040078026339,2016-01-16 13:24:39.965,2016-01-16 13:24:39.965,,,,,,,,
53,2016-01-16 20:05:00.000,2016-01-16 20:09:00.000,2016-01-16 20:11:00.000,B4.2,885.13968,50.5695804,2480,2016-01-16 20:09:43.448,2016-01-16 20:06:30,,9.032974699655945,2016-01-16 20:09:43.448,2016-01-16 20:09:43.448,,,,,,,,
54,2016-01-17 10:36:00.000,2016-01-17 10:49:00.000,2016-01-17 11:12:00.000,B3.7,-458.27763,320.537442,2485,2016-01-17 10:49:20.381,2016-01-17 10:41:10,,7.628345047678251,2016-01-17 10:49:20.381,2016-01-17 10:49:20.381,,,,,,,,
55,2016-01-18 15:58:00.000,2016-01-18 16:25:00.000,2016-01-18 16:36:00.000,B3.9,-228.76359,329.950074,2485,2016-01-18 16:24:07.761,2016-01-18 15:59:00.000,,5.744312419706185,2016-01-18 16:24:07.761,2016-01-18 16:24:07.761,11.291703736578365,,,,,,,
56,2016-01-19 03:28:00.000,2016-01-19 03:38:00.000,2016-01-19 03:42:00.000,B2.6,-703.00974,91.872798,0,2016-01-19 03:37:57.345,2016-01-19 03:29:00.000,,8.39623040984847,2016-01-19 03:37:57.345,2016-01-19 03:37:57.345,,,,,,,,
57,2016-01-19 08:49:00.000,2016-01-19 09:00:00.000,2016-01-19 09:06:00.000,B2.9,-33.424212,284.763138,2485,2016-01-19 09:00:22.701,2016-01-19 08:56:50,,10.326215223293538,2016-01-19 09:00:22.701,2016-01-19 09:00:22.701,,,,,,,,
58,2016-01-19 10:33:00.000,2016-01-19 10:36:00.000,2016-01-19 10:41:00.000,B4.1,-654.07638,96.284064,0,2016-01-19 10:36:23.678,2016-01-19 10:34:00.000,,8.40694840996939,2016-01-19 10:36:23.678,2016-01-19 10:36:23.678,,,,,,,,
